	gene_symbol	10.0
215491_at	MYCL1	-0.000133129004646
211772_x_at	CHRNA3	0.000133458209889
209146_at	MSMO1	-0.00013352450069
212272_at	LPIN1	-0.000134201503098
208132_x_at	PRRC2A	-0.000134265566847
216209_at	LOC400084	0.00013440183096
221100_at	C6ORF15	-0.000135329497027
221057_at	-666	0.000135639155101
221139_s_at	CSAD	0.000135881798984
44563_at	WRAP53	-0.000136178168614
205055_at	ITGAE	-0.000137030044972
222213_x_at	-666	0.000137031032344
205982_x_at	SFTPC	0.000137138486313
207299_s_at	GRM1	0.000137169316416
207561_s_at	ACCN3	0.0001375068895
216839_at	LAMA2	-0.000137550549244
202030_at	BCKDK	0.000138195529347
217246_s_at	DIAPH2	0.000138493827119
221041_s_at	SLC17A5	-0.000138846716547
205124_at	-666	0.000138874613656
200717_x_at	RPL7	0.00014010496515
214476_at	TFF2	0.000140106090051
219856_at	C1ORF116	0.000140951518433
208488_s_at	CR1	0.000140955528923
219335_at	ARMCX5	0.000141156905055
208220_x_at	AMELY	-0.000141327568196
210671_x_at	MAPK8	-0.000141595994004
218903_s_at	OBFC2B	-0.000141907254643
220336_s_at	GP6	0.000142303111755
215496_at	SAMD4A	0.00014238450469
206559_x_at	EEF1A1	0.00014293019452
206897_at	PAGE1	-0.000142942334759
200011_s_at	ARF3	0.000143010100659
211985_s_at	CALM1	0.000143139962905
202918_s_at	MOB4	-0.00014317731625
205259_at	NR3C2	-0.000143622963232
213608_s_at	SRRD	0.000143878883677
210628_x_at	LTBP4	0.000144105298865
219219_at	TMEM160	0.000144325552207
207448_at	POFUT2	-0.000144545177033
214188_at	HEXIM1	0.000145018237332
201069_at	MMP2	-0.000145065090786
206189_at	UNC5C	-0.000145220401192
216133_at	TRD@	0.0001454489693
201374_x_at	PPP2CB	-0.000145479140051
221320_at	BCL2L10	-0.00014628092708
201049_s_at	RPS18	-0.000146345494514
210565_at	GCGR	-0.000146564351863
220532_s_at	TMEM176B	0.000146639652697
219816_s_at	RBM23	-0.000146699230485
216779_at	CYLC1	-0.000147765882902
210937_s_at	PDX1	0.000147944546132
217120_s_at	MED14	0.000147947220232
219780_at	ZNF771	0.00014869727129
216182_at	SYNJ2	0.000148738731989
212028_at	RBM25	-0.000148807489151
217952_x_at	PHF3	-0.000148929177362
216786_at	LINC00230A	0.000149066700472
207226_at	HIST1H2BN	0.000149186139705
204111_at	HNMT	-0.000150123082422
205228_at	RBMS2	-0.000150191512418
207468_s_at	SFRP5	0.000150266765967
205545_x_at	DNAJC8	-0.000150352921153
203391_at	FKBP2	0.000150606990573
212376_s_at	EP400	0.000150879086765
210630_s_at	RAD52	0.000151126530224
215628_x_at	-666	0.000151415976759
217705_at	PRKD1	0.000152169860339
202958_at	PTPN9	0.000152413357972
203487_s_at	ARMC8	0.000152601556184
221256_s_at	HDHD3	-0.000152767782266
220544_at	TSKS	0.000152909299006
219285_s_at	NIN	-0.000153363145011
219651_at	DPPA4	-0.000153600692728
208993_s_at	PPIG	0.000153838273761
211108_s_at	JAK3	-0.000154453618027
216074_x_at	WWC1	0.00015466707978
213544_at	ING2	-0.000154765207955
215876_at	-666	0.00015494086892
217078_s_at	CD300A	-0.000154946790617
220456_at	SPTLC3	-0.000155347539089
214780_s_at	MYO9B	0.000155643508094
214449_s_at	RHOQ	-0.000156071882662
213321_at	BCKDHB	0.000156273940955
203071_at	SEMA3B	-0.000156292331329
214803_at	CDH6	-0.000156320604168
218398_at	MRPS30	-0.000156354834122
207779_at	-666	-0.000156630593183
214509_at	HIST1H3I	0.000156667169923
213313_at	RABGAP1	-0.000157041939411
212790_x_at	RPL13A	-0.000157277473157
221125_s_at	KCNMB3	-0.000158107516178
220873_at	-666	-0.000158428587537
220418_at	UBASH3A	-0.000158734577506
208948_s_at	STAU1	0.000158804302792
220613_s_at	SYTL2	-0.000159090632646
209629_s_at	NXT2	-0.000159554798999
208489_at	GJA8	-0.0001596112355
210548_at	CCL23	-0.00016003137627
210773_s_at	FPR2	0.000160860578432
219230_at	TMEM100	-0.000161262255353
205868_s_at	PTPN11	0.000161660705352
203481_at	FAM178A	0.000161966159616
212201_at	ANKLE2	0.000162406603064
217093_at	RNASE1	0.000162525578449
78495_at	ZNF783	-0.000163018431001
200676_s_at	UBE2L3	0.00016316647968
201808_s_at	ENG	0.000163393733644
208943_s_at	SEC62	0.000163419440941
56748_at	TRIM10	-0.000164147343511
201044_x_at	DUSP1	0.000164209219789
220106_at	NPC1L1	-0.000164222646262
205348_s_at	DYNC1I1	0.000164302886671
210004_at	OLR1	-0.000164349275439
206319_s_at	SPINLW1	0.000164977012542
218925_s_at	C11ORF1	0.000165138754522
203868_s_at	VCAM1	-0.000165217236694
206232_s_at	B4GALT6	-0.000165676563679
91580_at	LRTM1	0.000166090500399
206921_at	GLE1	-0.00016641831443
218879_s_at	MTHFSD	-0.000166671669534
44040_at	FBXO41	0.000166876152735
202627_s_at	SERPINE1	-0.000167241308623
207351_s_at	SH2D2A	0.000167345133426
212049_at	WIPF2	0.000167355748178
