	gene_symbol	1.11
202970_at	DYRK2	8.3712955272e-05
208211_s_at	ALK	8.39125802021e-05
202867_s_at	DNAJB12	8.40366770478e-05
205503_at	PTPN14	8.46286942589e-05
214937_x_at	PCM1	-8.46458582132e-05
215246_at	LARP7	8.48953463865e-05
208663_s_at	TTC3	8.49472936132e-05
216497_at	-666	-8.50730162795e-05
217183_at	LDLR	-8.5195831898e-05
214340_at	ALOX12P2	8.52719980281e-05
209698_at	CCHCR1	-8.54523606287e-05
206869_at	CHAD	-8.59836339144e-05
208090_s_at	AIRE	-8.62610482999e-05
211512_s_at	OGFR	-8.66912563519e-05
217282_at	MAN1A2	-8.67278964048e-05
215105_at	CG030	-8.67685110073e-05
205179_s_at	ADAM8	-8.67735037536e-05
206022_at	NDP	8.6801191792e-05
219660_s_at	ATP8A2	-8.75285051064e-05
213135_at	TIAM1	8.78086860434e-05
202254_at	SIPA1L1	8.78163056526e-05
202406_s_at	TIAL1	8.78673246139e-05
211034_s_at	C12ORF51	-8.80474725766e-05
219977_at	AIPL1	8.87153684385e-05
211989_at	SMARCE1	8.88115375346e-05
214263_x_at	POLR2C	-8.94651295527e-05
214971_s_at	ST6GAL1	-8.96700444881e-05
208222_at	ACVR1B	8.96959968064e-05
207834_at	FBLN1	9.07591784012e-05
201964_at	SETX	9.09179817104e-05
210431_at	ALPPL2	9.12782229119e-05
220230_s_at	CYB5R2	-9.13689925905e-05
220441_at	DNAJC22	9.14295110367e-05
201214_s_at	PPP1R7	-9.22625892476e-05
204667_at	FOXA1	9.28347015035e-05
203100_s_at	CDYL	9.28560863194e-05
214293_at	SEPT11	-9.31351434807e-05
204280_at	RGS14	-9.319506229e-05
221108_at	C22ORF43	-9.36219281735e-05
211377_x_at	MYCN	9.40286469169e-05
205378_s_at	ACHE	-9.41842384373e-05
218900_at	CNNM4	-9.46179333599e-05
200062_s_at	RPL30	9.46750987217e-05
219930_at	KLF8	9.48826696152e-05
222220_s_at	TSNAXIP1	-9.49638204472e-05
202572_s_at	DLGAP4	-9.54650316764e-05
214506_at	GPR182	-9.56042205722e-05
222329_x_at	-666	9.5876135823e-05
208884_s_at	UBR5	-9.63603167634e-05
220271_x_at	EFCAB6	9.63743421117e-05
204046_at	PLCB2	9.64388380623e-05
219469_at	DYNC2H1	-9.74553053629e-05
213364_s_at	SNX1	-9.75031094725e-05
208409_at	SLC14A2	9.760689907e-05
215478_at	RIMS2	9.76787698977e-05
214460_at	LSAMP	-9.7770313701e-05
216396_s_at	EI24	9.8350309266e-05
215828_at	-666	-9.86393988935e-05
218059_at	ZNF706	-9.88883902066e-05
211824_x_at	NLRP1	9.90928062174e-05
204770_at	TAP2	9.92128189472e-05
209578_s_at	POFUT2	-9.92296809743e-05
207660_at	DMD	-9.93189459464e-05
215347_at	-666	9.93236348109e-05
219695_at	SMPD3	9.96503122024e-05
218533_s_at	UCKL1	9.97818049498e-05
221067_s_at	C12ORF39	-0.000100135040363
217795_s_at	TMEM43	-0.000100248459791
220433_at	PRRG3	-0.000100293080035
215244_at	-666	0.000100787199292
221462_x_at	KLK15	-0.00010088947699
203439_s_at	STC2	-0.000100909047067
202566_s_at	SVIL	0.000100965460847
200971_s_at	SERP1	0.000101061799679
210375_at	PTGER3	-0.000101524796974
214740_at	-666	-0.000101598547925
205299_s_at	BTN2A2	-0.000101712829576
214525_x_at	MLH3	-0.000102285361956
52731_at	AMBRA1	-0.000102344415005
213888_s_at	TRAF3IP3	-0.000102464608014
220740_s_at	SLC12A6	-0.000102820835898
219677_at	SPSB1	-0.000103551018466
91703_at	EHBP1L1	0.000104096871918
219770_at	GTDC1	0.00010413546739
219297_at	WDR44	-0.000104158589477
213399_x_at	RPN2	0.000104234304164
207405_s_at	RAD17	-0.000104488021174
220928_s_at	PRDM16	-0.000104707657129
212852_s_at	TROVE2	0.000105071295903
213019_at	RANBP6	-0.000105090813474
210507_s_at	AVIL	0.0001052779979
216078_at	-666	0.000106124694575
215149_at	-666	0.000106395910425
217676_at	-666	0.000106767487784
217439_at	-666	0.00010740058969
220961_s_at	TBRG4	-0.000107582016685
212013_at	PXDN	0.000108275041209
212357_at	FAM168A	0.000108293259921
221390_s_at	MTMR8	0.000108422782584
202557_at	HSPA13	-0.000108601033556
216318_at	IGHA1	-0.000109033301215
221998_s_at	VRK3	0.000109040989429
219190_s_at	EIF2C4	0.000109704158602
