concentration,MCF10A-GM_(Broad)_72_R1,MCF10A-GM_(HMS)_72_R1,MCF10A-H2B_(HMS)_72_R1,MCF10A-HMS_(HMS)_72_R1,MCF10A-OHSU_(HMS)_72_R1,MCF10A-GM_(HMS)_72_R2,MCF10A-H2B_(HMS)_72_R2,MCF10A-HMS_(HMS)_72_R2,MCF10A-OHSU_(HMS)_72_R2,MCF10A-GM_(HMS)_72_R3,MCF10A-H2B_(HMS)_72_R3,MCF10A-HMS_(HMS)_72_R3,MCF10A-OHSU_(HMS)_72_R3,MCF10A-GM_(DToxS)_72_R1,MCF10A-GM_(DToxS)_72_R2,MCF10A-GM_(Neuro)_72_R1,MCF10A-GM_(Neuro)_72_R2,MCF10A-GM_(Neuro)_72_R3,MCF10A-GM_(MEP)_72_R1,MCF10A-GM_(MEP)_72_R2,Median
0.281838293126,0.858629620652,0.866353104907,0.642071445008,0.416460415478,0.777511475152,0.74404993732,0.609869532665,0.413332441846,0.793639506598,0.837306623675,0.778439014123,0.42473847466,0.803961875142,0.509099239683,0.468238007857,1.0,1.0,1.0,0.958328627833,0.87264072832,0.87264072832
0.316227766017,0.848840828725,0.853812149137,0.617920179676,0.396584195137,0.75973688361,0.716366700801,0.570176409764,0.385878877002,0.772995560357,0.819672054224,0.75067008833,0.408670849263,0.782325999316,0.49305486531,0.456921215921,1.0,1.0,1.0,0.939718579141,0.866274202315,0.866274202315
0.354813389234,0.83855421619,0.840458534484,0.593427515623,0.377377036883,0.741166033687,0.688110599521,0.531397557726,0.360648643887,0.751351594484,0.800939591372,0.722072654011,0.392928419225,0.759607776486,0.478356366078,0.445811040712,1.0,1.0,1.0,0.916511064588,0.860157812458,0.860157812458
0.398107170553,0.827769123255,0.826306296133,0.568746136473,0.358894988393,0.72185839654,0.659715229347,0.494287337721,0.33770328643,0.728856564073,0.781207192502,0.693181548395,0.377543435746,0.736015716294,0.464982719433,0.434921134602,1.0,1.0,1.0,0.890200074049,0.854328189313,0.854328189313
0.446683592151,0.8164884343,0.811382211403,0.544033512303,0.341183127845,0.701887057116,0.631622774483,0.459470152185,0.317033811673,0.705688303554,0.760604396376,0.664553903307,0.362544780833,0.711796218841,0.452890096566,0.42426384496,1.0,1.0,1.0,0.863406679627,0.848813773652,0.848813773652
0.501187233627,0.804718884255,0.795726642383,0.519447910966,0.324275639836,0.681338095232,0.604256818788,0.427405854081,0.2985737191,0.682048714762,0.739290386123,0.636726834019,0.347957832517,0.687224239333,0.44201724457,0.413850186357,1.0,1.0,1.0,0.838944759036,0.843634733602,0.843634733602
0.56234132519,0.7924713255,0.779393976621,0.495144366433,0.308196165755,0.660309464154,0.57799753771,0.398378292509,0.282212889311,0.658157191294,0.717450054541,0.610178287343,0.333804391862,0.66259126883,0.432290555812,0.403689827414,1.0,1.0,1.0,0.818740031932,0.838803275071,0.838803275071
0.63095734448,0.779760942925,0.762452581886,0.471270820645,0.292958384286,0.638909375813,0.553162246846,0.372504551203,0.267810931541,0.634242693239,0.695288180531,0.585296892526,0.3201026689,0.638191695696,0.42362858581,0.393791091594,1.0,1.0,1.0,0.803387529022,0.834324266758,0.834324266758
0.707945784384,0.766607404935,0.744984212668,0.447964639521,0.278566773115,0.617254234949,0.52999318657,0.349759075015,0.255209053669,0.61053506059,0.673022051665,0.562364395554,0.306867323164,0.61430887856,0.41594588995,0.384160971023,1.0,1.0,1.0,0.792445457958,0.830196089448,0.830196089448
0.794328234724,0.75303493898,0.727082837447,0.425349670426,0.26501750185,0.595466197246,0.508653068999,0.330005735042,0.244239954718,0.587256255829,0.650873069796,0.541551394249,0.294109553458,0.591202309978,0.409156137571,0.374805152247,1.0,1.0,1.0,0.78499777068,0.826411619219,0.826411619219
0.891250938134,0.739072321564,0.708852894689,0.403533961927,0.252299408115,0.573670455457,0.489227666822,0.313031586134,0.234735590262,0.564612235809,0.629058015715,0.522924556716,0.281837230611,0.569097068532,0.403174526064,0.365728052757,1.0,1.0,1.0,0.780086069563,0.822959262889,0.822959262889
1.0,0.724752774829,0.690407028665,0.382608213026,0.240395013046,0.551992379245,0.471733850849,0.298577806614,0.226532905998,0.542786068196,0.607780696544,0.506461930083,0.270055066547,0.548176390766,0.397919559058,0.356932866951,1.0,1.0,1.0,0.776913936411,0.819823978387,0.819823978387
1.1220184543,0.710113764561,0.671863398858,0.362644964641,0.229281538248,0.53055464645,0.456131091106,0.286365277005,0.219477780393,0.521932745506,0.587224646044,0.492072493191,0.258764812699,0.528577729971,0.393314275049,0.348421620219,1.0,1.0,1.0,0.774892882515,0.816988229509,0.816988229509
1.25892541179,0.695196697788,0.653342693863,0.343698496601,0.218931892935,0.509474504194,0.442334479699,0.276113920146,0.213427483649,0.502175941602,0.567547404352,0.479616550068,0.247965480924,0.510392206874,0.389287020792,0.340195229781,1.0,1.0,1.0,0.773616324486,0.814432841256,0.814432841256
1.41253754462,0.680046521898,0.634965007432,0.3258053533,0.209315606943,0.48886128758,0.4302276746,0.267556068294,0.208251970745,0.483606738858,0.548876699193,0.468924495813,0.237653580251,0.493666982556,0.385771861738,0.332253570938,1.0,1.0,1.0,0.772814421012,0.812137736985,0.812137736985
1.58489319246,0.66471123119,0.616846747065,0.308985392904,0.200399691956,0.468814303106,0.419674641363,0.260444749247,0.203834302582,0.466284163204,0.531308624271,0.459812527813,0.227823363297,0.478409846698,0.382708713762,0.324595547431,1.0,1.0,1.0,0.772312417988,0.810082550802,0.810082550802
1.77827941004,0.649241290778,0.599097742554,0.293243239488,0.192149419446,0.449421155666,0.410529551174,0.254558012301,0.200070447959,0.450237223083,0.514907701043,0.452094766112,0.218467076712,0.464595224715,0.380043269232,0.317219164683,1.0,1.0,1.0,0.771998834895,0.808247117859,0.808247117859
1.99526231497,0.633688991491,0.581818703447,0.278570013627,0.184529009113,0.430756565545,0.402644595769,0.249700390207,0.196868671955,0.435468067867,0.499708546989,0.445591875588,0.209575210682,0.452170843626,0.377726778245,0.310121604748,1.0,1.0,1.0,0.771803215093,0.806611851475,0.806611851475
2.23872113857,0.61810775268,0.565099143258,0.264945223055,0.17750222603,0.412881688507,0.395875768067,0.245702438185,0.194148670535,0.421955859732,0.485718772672,0.440136645971,0.201136743238,0.441064418818,0.375715734004,0.30329930194,1.0,1.0,1.0,0.771681286024,0.805158019743,0.805158019743
2.51188643151,0.602551392376,0.549015848382,0.252338708129,0.171032888186,0.395843921212,0.390086833091,0.242419090458,0.191840570602,0.40966097945,0.472922692761,0.435577137294,0.193139375822,0.431189888528,0.373971500529,0.296748018162,1.0,1.0,1.0,0.771605327992,0.803867936047,0.803867936047
2.81838293126,0.587073385808,0.533631926232,0.24071255451,0.16508528872,0.379677148348,0.38515179711,0.239727378855,0.189883880919,0.398529245538,0.461285453198,0.431778008271,0.185569757279,0.422452893234,0.372459911601,0.290462917114,1.0,1.0,1.0,0.771558023966,0.802725078154,0.802725078154
3.16227766017,0.571726133936,0.518996425109,0.230022904987,0.159624538958,0.36440236858,0.380956200826,0.237523890574,0.188226452405,0.388495901637,0.450757231937,0.428620576004,0.178413694126,0.414755348039,0.371150862106,0.28443863665,1.0,1.0,1.0,0.771528570661,0.801714149848,0.801714149848
